title,lead,category,id_news
تصمیم شخصی یک نماینده یا نظر مجلس ؟,"موضوع تقدیر از رسانه های مورد هجوم جریان فتنه اولین بار توسط حميد رسايي روز يكشنبه 19 ارديبهشت ماه در نطق ميان دستور اعلام شد، رسایی اعلام كرد كه تصميم دارد تا از رسانه هايي همچون: روزنامه كيهان، ايران، جوان و خبرگزاري فارس در ""مجلس"" برگزار  كند.رسايي در مصاحبه هاي خود با خبرگزاري فارس همواره طوري سخن مي گفت كه گويا مجلس شوراي اسلامي تصميم دارد كه از رسانه هاي مدنظر اين نماينده تقدير كند و همواره كلمه «مجلس» را در تقدير از مديران اين رسانه ها ذكر مي كند.",سیاسی,100041
بازداشت حامیان البرادعی در مصر,"این 8 نفر در شهر ""دمنهور"" مصر در حین فعالیت برای حمایت از خواست ""محمد البرادعی"" مدیرکل اسبق آژانس انرژی اتمی در زمینه تغییر قانون اساسی بودند که توسط نیروهای امنیتی دستگیر شدند.",سیاسی,100044
باهنر: نباید از رهبری خرج شود,وي همچنين به بحث موقوفه كردن دانشگاه آزاد و مباحثي كه در اين ارتباط در مجلس مطرح شده، اشاره كرد و گفت: دو طرف يعني مخالفين و موافقين اين موضوع نقل قول هايي را در ارتباط با وقف از مقام معظم رهبري مطرح مي كنند، در صورتي كه بايد خود مسوولان قواي حاكم اين مساله را حل كنند و نبايد از رهبري خرج شود و نبايد اين مسائل را به آن سطح كشاند و اگر در جايي نياز باشد مقامات مربوطه استفتاء و استعلام لازم را انجام مي دهند.,سیاسی,100045
[ ... ],محمد رضا زائري,فرهنگی,100047
تصاویر: آبگرفتگی در معابر و خیابانهای مشهد,بارش باران عصر روز شنبه در مشهد باعث آبگرفتگی در سطح شهر و خیابانهای این شهر شد.,فرهنگی,100048
كاخ سفيد:مخالف عرضهS-300 به ايران نیستیم,مقام هاي واشنگتن اعلام كردند كه اين موافقت آمریکا در ارتباط مستقیم با توافق بر سر قطعنامه شورای امنیت نیست، بلکه نمودی از سیاست رئيس جمهوري اين كشور برای همکاری و مشارکت بیشتر آمريكا و روسيه است.,سیاسی,100056
انتقاد توکلی از نظام بودجه ریزی کشور,احمد توکلی  در جلسه علنی امروز یکشنبه مجلس در مخالفت با تغییر ساختار کمیسیون تلفیق ، اظهار داشت: مشکل واقعی این است که کمیسیون به شکل ناکارآمدی در تصویب بودجه عمل می کند که البته این به دلیل 4 مشکلی است که در این زمینه وجود دارد.,اقتصادی,100057
وعده مرتضوی برای مبارزه جدی با قاچاق,وی به تبلیغات هوشمندانه امسال این ستاد به عنوان یکی از برنامه های اساسی برای حمایت از تولید ، صنعت و اشتغال کشور اشاره و خاطر نشان کرد: تلاش می کنیم قاچاق کالا و ارز را به عنوان یک حرام شرعی در کشور تبلیغ کنیم.,اقتصادی,100058
تصاویر : خاطره دوم خرداد 1376,عصرایران - امروز دوم خرداد است ، سالروز یکی از حماسه های ملت ایران . دوم خرداد 1376 خورشیدی ،29 میلیون ایرانی پای صندوق های رأی رفتند و در انتخاباتی به معنای واقعی پرشکوه ، رئیس جمهور کشورشان را برگزیدند.آنچه پیش ، هنگام و در پی دوم خرداد گذشت را همه نیک می دانند و از این رو ، به جای هر کلامی ،  تنها بر بال تصاویر ، خاطرات آن روزها را مرور می کنیم .,سیاسی,100059
نيازمند انقلاب ديگري هستیم كه البته محور آن سياست نيست,اگر بخواهيم مدل توسعه  غربي را پشت سر گذاریم، صد سال ديگر توسعه و تعالي در ايران طول مي كشد و اگر بخواهيم مدل توسعه شرقي را بگذرانيم، به اندازه چهل سال اين توسعه طولاني خواهد شد/تقويت فهم و معرفت جمعي از مسائل، تفسير درست از دين در امر توسعه و تعالي، فرهنگ سازي متناسب با توسعه و تعالي و مشاركت نخبگان و اجماع آنان در امر توسعه در مسأله بهره وري در سطح ملي مهم است/ فرآیند شناخت مسأله، سياست گذاري، برنامه ريزي و اجرا در كشورمان طولاني است.,سیاسی,100062
مسکن چینی هم در راه است,مجیدرضا حریری در جمع خبرنگاران با اشاره به حضور هیئتی از استان گوانگ دونگ چین در تهران گفت: طبق برنامه ریزی های صورت گرفته، سالانه باید بیش از یک میلیون واحد مسکونی در کشور ساخته شود، به همین دلیل اتاق بازرگانی مشترک ایران و چین تصمیم گرفته است تا به جای دعوت از سرمایه گذاران چینی برای ساخت مسکن در ایران، از سازندگان تجهیزات ساختمانی برای حضور در ایران و انجام سرمایه گذاریهای مشترک با تجار ایرانی، دعوت به عمل آورد.,اقتصادی,100063
حمله نظامی به ایران منتفی شده حتی اگر اتمی شود,"همچنین"" یوزی میلیان "" تحلیل گر مسائل سیاسی در بخش از این گزارش می گوید : هم اکنون مسئولین نظامی اسرائیل در بدترین شرایط اختلاف نظر در 62 سال گذشته بسر می برند و  این موضوع کافی است که هیچگاه نتوانند برای عملیات نظامی خارج از اسرائیل تصمیم گیری واحدی داشته باشند...سوم ؛ عدم توانایی سیاسی برای توجیه این حمله از سوی مقامات اسرائیلی است و ممکن است هرحرکت کوچک علیه ایران به ضرر منطقه و منافع آمریکا در جهان منجر شود.",سیاسی,100064
تصویب فوريت طرح امر به معروف و نهي از منكر,در صورت تصويب نهايي اين طرح، امر به معروف و نهي از منكر در اين قانون ناظر به اعمالي است كه در جامعه علني بوده و يا بروز احتمالي داشته باشد و يا بدون ضرورت تجسس ثابت شود كه مضر به منافع عمومي و امنيت ملي است.,فرهنگی,100065
سارقي كه از صندوق صدقات هم نمي گذشت!,در بازجويي هاي انجام شده متهم به نام «ق ــ ح» كه يك بار ديگر نيز به دليل مظنونيت به سرقت از صندوق صدقات دستگير و بنا به عدم وجود مدارك كافي آزاد شده بود، اين بار لب به سخن گشود و به 58 فقره سرقت صندوق صدقات در دو ماه معترف و گفت: تا به حال مبلغي بيش از ميليون ها ريال سرقت كرده ام .,اجتماعی,100070
نامه به رئيس قضا نخوانده امضا شد,معمولا نمايندگان براساس اعتمادي كه به همكاران خود در مجلس دارند نامه هايي كه ارائه مي شود را امضا مي كنند و از خواندن كل متن آن خودداري مي كنند چرا كه تك تك نمايندگان فرصت نمي كنند تا همه متن يا نامه يا بيانيه را بخوانند.,سیاسی,100074
ابتکار: برنج هاي وارداتي فعلا عرضه نشود,برنج هاي وارداتي نبايد در ميادين و فروشگاه هاي شهروند توزيع شود،همچنان خواستاريم كه حداقل تا زماني كه دعواي ميان وزارت بهداشت و سازمان استاندارد حل نشده است از عرضه اين نوع برنج ها خودداري شود.,اقتصادی,100075
فرمانده جدید ناجا کیست؟ + تکذیبیه سردار رادان,شنیده های خبرنگار «تابناک»، حاکی از آن است که این حکم به زودی منتشر خواهد شد و وی رسما به عنوان فرمانده جدید نیروی انتظامی جمهوری اسلامی ایران آغاز به کار خواهد کرد/ گفتنی است، سردار احمدی مقدم، فرمانده کنونی در تیر ماه 1384 از سوی رهبر معظم انقلاب به عنوان فرماندهی ناجا و به جای محمد باقر قالیباف منصوب شده بود.,سیاسی,100077
از ابلاغ توافقنامه تهران تا محورهای دور جدید تحریم ها,"بر پایه گزارش های منتشره، این نامه دوشنبه به یوکیو آمانو، دبیر کل آژانس بین المللی انرژی اتمی، تسلیم خواهد شد.
این در حالی است که این معاهده آمریکا و هم پیمانان بین المللی اش را متقاعد نساخته است...دیگر موارد مندرج در این قطعنامه عبارتند از: 1ـ گسترش ممنوعیت فروش هشت نوع سلاح متعارف اعم از تانک، خودروهای زرهی و هواپیماهای جنگی2ـ ملزم داشتن کشورها به بازرسی خطوط هوایی و کشتیرانی در حال ورود یا خروج به ایران که مظنون به حمل محموله های ممنوعه هستند 3ـ ممنوعیت گشایش شعب جدید بانکداری ایرانی یا ادارات و مؤسسات مالی مرتبط با برنامه های هسته ای...",سیاسی,100080
علوم انساني غيربومي، اصلي ترين مانع تحقق عدالت اسلامی,علي ميثمي تهراني,فرهنگی,100081
فائزه هاشمی از احمدی نژاد مستندات خواست,: آقای احمدی نژاد سالهاست که می خواهد همه این سوء استفاده ها، رانت خواری ها و دزدی ها را افشا و ریشه کن کند، مگر شعارش همین نبود؟ ایشان و گروهش حداقل پنج سال است که به همه اسناد دسترسی دارند پس مستند ادعاهای ایشان چرا ارائه نشد؟ چرا کسی به ایشان نمی گوید این همه شعار دادی، افکار عمومی را مسموم کردی پس چرا ثابت نکردی؟ این است عدل اسلامی؟,سیاسی,100083
کشف شبکه هرمی ترویج بدحجابی,اخبار و اطلاعات حاکی از این است که جریانی هدایت شده پشت ترویج بدحجابی است و تعداد انگشت شماری نیز در این برنامه با هدایت محافل خاص این موضوع را دنبال می کنند.,اجتماعی,100085
هم نشينان  مجالس لهو و لعب، فوتبال فارس را تخريب مي كنند!,اگر پول نباشد مديريت ناممكن است ديگر نمي شود امثال فلاح و جعفري را متهم به بي تدبيري كرد. مردم را نمي شود فريب داد. من نمي گويم اداره كل تربيت بدني فارس بايد پول بدهد و تيم داري كند ولي مي توانست صداي ما را به گوش مسؤولين استان برساند. آيا در انجام اين رسالت موفق بودند. آيا آمدند سر تمرين تيم ها و حمايت معنوي كردند؟ نمي خواهم منكر زحمات دوست عزيز كه حالا در شيراز نيست شوم ولي نگاه او به فوتبال نامطلوب بود. سالن ساختن خوب است ولي مردم فوتبال را ويترين ورزش مي دانند.,ورزشی,100087
ميرزاپور: شايد با استقلال قرارداد بستم,اين دروازه بان گفت: در فصل نقل و انتقالات هميشه از اين حرف و حديث ها وجود دارد. فعلا منتظر سايپا هستم و اگر با اين تيم قراردادم را تمديد نكردم فكر ديگري مي كنم.,ورزشی,100088
سهرابي: هركاري مي شد كرد، حتي دوپينگ!,عضو تيم ملي دوچرخه سواري و باشگاه پتروشيمي تبريز با اشاره به اينكه سومين دوره ي برگزاري تور رياست جمهوري بسيار ضعيف برگزار شد، خاطرنشان كرد: در اين دوره تيم هاي خارجي بهتري به ايران آمده بودند اما فكر نمي كنم دو سال آينده اين تيم هاي خارجي ديگر به ايران بيايند. در اسكان تيم ها، تغذيه، حمل و نقل تور رياست جمهوري آن قدر ضعيف بود كه هيچ حرفي براي گفتن نيست.,ورزشی,100089
مورينيو: خداحافظ اينتر، سلام مادريد,مورينيو در مورد آينده مربيگري خود گفت: با اينترميلان خداحافظي و به رئال مادريد سلام مي كنم. اميدوارم بتوانم تا پايان همين هفته تصميمي درست اتخاذ كنم و بر سر برخي جزئيات باقي مانده با مقامات رئال مادريد به توافق نهايي برسم.,ورزشی,100091
اين مقام به درد تيم ملي نمي خورد!,نايب رييس فدراسيون بوكس با تاكيد بر اين كه با اين شرايط تيم ملي از برنامه هاي گوانگ جو عقب هستيم و مشكلات زيادي داريم، گفت: بايد به صورت ويژه با سرمربي اوكرايني تيم ملي و مربيان تيم صحبت كنيم. طي يكي دو روز آينده در جلسه اي با حضور اعضاي كميته فني، مربيان تيم و رييس فدراسيون نتايج تيم در ازبكستان را بررسي خواهيم كرد. سرمربي بايد توضيح دهد كه چرا تيم نتيجه نمي گيرد.,ورزشی,100093
فان  خال: از باخت مقابل اينتر در شگفتم,اين مربي كه تابستان گذشته زمام امور تيم مونيخي را برعهده گرفت و آن را به مقام قهرماني بوندس ليگا و جام حذفي رساند،  گفت: مورينيو به من تبريك گفت. شايد حق با او بود؛ ولي احساس من چيز ديگري بود. به نظرم اينتر شايسته برد بود؛ ولي با اين سبك بازي كردن و برنده شدن،  چيزي عجيب و غريب نبود.,ورزشی,100095
سعيدلو: بهانه اي براي كم كاري نداريم,در اين نشست باقرزاده رييس فدراسيون شمشيربازي از سعيدلو خواست تا شوراي عالي ورزش را هر چه سريع تر تشكيل دهد. وي همچنين گفت: براي حضور موفق در بازي هاي آسيايي خواهشمندم كه به سرعت در اختصاص بودجه توجه كنيد. ما فدراسيون مدال آوري هستيم اين قدر پول را به فدراسيون هاي كشتي، فوتبال و وزنه برداري تزريق نكنيد.,ورزشی,100096
خاطرات جنگ را امسال منتشر مي كنم,گفتگو با محسن رضایی,سیاسی,100097
رئال مادريد مايكون را خريده است,دوستان نزديك به نايب رئيس باشگاه رئال مادريد به خبرنگار روزنامه ورزشي اول پايتخت اسپانيا خبر داده اند مايكون برزيلي در جريان جشن قهرماني تيمش در ليگ قهرمانان اروپا با فلورنتينو پرس ديدار داشته و در كنار وكيل رسمي خود قرارداد رسمي همكاري با رئال مادريد را امضا كرده است.,ورزشی,100099
پرايد از چرخه تاكسيراني حذف مي شود,اولويت ما جمع آوري پيكان هاي فرسوده در شبكه و همچنين مسافربرهاي قديمي است و به همين جهت در فاز ديگري پرايدهاي موجود از چرخه تاكسي حمل ونقلي حذف مي شود/خودروي پرايد مناسب تاكسي نيست و براي مسافران ناامن است.,اجتماعی,100100
چاپ كاريكاتور موهن در آفريقاي جنوبي و اعتراض مسلمانان,شوراي عالي مسلمانان آفريقاي جنوبي با صدور اطلاعيه اي از تمامي مسلمانان خواست كه نسبت به اين بي احترامي واكنش نشان دهند.,ورزشی,100102
پيروزي تیم فوتبال تركيه مقابل چک,گل هاي تركيه را در اين ديدار آردان توران در دقايق 31 و 48 وارد دروازه حريف كرد و تك گل جمهوري چك را هم ميلان سرني در دقيقه 81 به ثمر رساند.,ورزشی,100105
قرمزها آسيايي مي شوند يا آبي ها؟,علي دايي هم مثل تمام دوران بازيگري اش تشنه موفقيت است، او در قامت سرمربي سايپا را قهرمان ليگ كرد و اگر بتواند با پرسپوليس هم قهرمان جام حذفي شود يكي از جوان ترين مربيان تاريخ فوتبال ايران خواهد بود كه توانسته در طول 4 سال به دو قهرماني برسد. مضاف بر اين  كه از ابتدا هم دايي براي رسيدن به كاپ جام حذفي به پرسپوليس آمد. او از ابتداي حضورش در پرسپوليس مي دانست كه تيم اش شانس بالايي براي رسيدن به قهرماني در ليگ برتر ندارد، به همين خاطر همه هدف اش كسب قهرماني در جام حذفي بود، اتفاقي كه دايي و پرسپوليس يك قدم با آن فاصله دارند.,ورزشی,100108
اردوي تيم ملي را ترك نكرده ام,وي درباره خبر فشار تمرينات و مشكلات بدني خود گفت: بهتر است كساني كه از هيچ چيز اطلاع ندارند،به بيان اين شايعه ها نپردازند. من هيچ مشكلي با تمرينات ندارم و بدنم كاملاً آماده است.,ورزشی,100110
مسي آقاي گلي را به كسي واگذار نكرد,مسي كه فصل پيش با 9 گل به اين عنوان دست يافته بود، در جدول برترين گلزنان بالاتر از ايويكا اوليچ از بايرن مونيخ و كريستيانو رونالدو از رئال مادريد ايستاد. هر دوي اين مهاجمان در اين فصل از رقابت هاي اروپايي هفت بار براي تيم هايشان موفق به گلزني شده بودند.,ورزشی,100111
شرط پذیرش فرزندان انگلیس رفته مسئولان,وی افزود: برای انتقال فرزندان مسئولین به کشور باید آنها را بر اساس توانمندیها در دانشگاهی همتراز با دانشگاه مبدأ در خارج از کشور در داخل جایابی کرد.,فرهنگی,100112
طالب لو و جباري در فهرست تراكتورسازي,اين باشگاه همچنين براي در اختيار داشتن بازيكنان خارجي خوب در نظر دارد 3 بازيكن برزيلي بگيرد. پيمنتا بازيكني كه به صورت قرضي از تراكتورسازي به برزيل بازگشت از بازيكناني است كه فصل آينده نيز در اين تيم تبريزي توپ خواهد زد.,ورزشی,100114
آوازخوانی دبیرکل سازمان ملل در استانبول!,در ضیافت شامی که احمد داوداوغلو وزیر خارجه ترکیه به افتخار میهمانان کنفرانس بین المللی سومالی در استانبول ترتیب داده بود، بان کی مون به زبان کره ای آوازی خواند.,سیاسی,100115
از بازگشت کشتی به دوران اوج ناراحتند!,کاوه تاکید کرد: کشتی گیری که مدعی پوشیدن دوبنده تیم ملی است باید در طول سال حداقل آمادگی را داشته باشد و ما بر اینکه یک فرد را به عضویت تیم ملی دربیاید عملکرد یکساله وی را مورد ارزیابی قرار می دهیم براینکه هدف ما کسب موفقیت برای رقابتهای جهانی مسکو، بازیهایی آسیایی گوانگژو و درنهایت المپیک 2012 لندن است.,ورزشی,100116
جدال سوپر جام اروپا 5 مرداد در موناکو,استاديوم لوئيس دوم شهر موناكو فرانسه شب گذشته همزمان با جشن قهرماني اينترميلان در برنابئو از ميان چند شهر ديگر و از سوي ميشل پلاتيني انتخاب شد.,ورزشی,100118
اعلام رای نهایی علی حسینی 25 خرداد,در این نشست که گفته می شود بدون حضور تاماش آیان، رئیس فدراسیون جهانی وزنه برداری برگزار خواهد شد، چهار نماینده حقوقی IWF به همراه نماینده آژانس بین المللی دوپینگ (وادا)، آخرین مدارک فدراسیون وزنه برداری را در دفاع از سعید علی حسینی بررسی کرده و سپس رای نهایی خود را در مورد این وزنه بردار کشورمان اعلام خواهند کرد.,ورزشی,100119
واکنش مولر، لام، موراتي، بوت، رومينيگه، بكن باوئر، فان بومل، نرلينگر و هوينس پس از جدال بایرن - اینتر,بوت كه به خاطر گلزني زياد از روي نقطه پنالتي به يكي از بهترين سنگربانان گلزن جهان از حيث گلزني مطرح است،  گفت: در خط حمله اينتر، ميليتو را داشت كه ما در اختيار نداشتيم. آنها در مجموع توان خارق العاده اي داشتند كه با اتكا با قدرت بسيار زياد دفاعي به بازي نهايي رسيد و برنده جام شد.,ورزشی,100120
تذكر دو نماينده به وزير بخاطر سیب زمینی,چندين هزار تن سيب در سردخانه هاي اروميه انباشته شده كه دولت اين سيب ها را كيلويي 200 تومان نيز خريداري نمي كند و اين در حالي است كه از كشورهاي ديگر سيب وارد مي شود.,اقتصادی,100121
5 تذکر نمایندگان به احمدی نژاد,مهمترین تذکرات نمایندگان به مسئولان اجرایی تذکر پولادی نماینده ایلام به رئیس جمهور برای تشکیل کارگروه جلوگیری از ایجاد گرد و غبار در ایلام، تذکر ثروتی نماینده بجنورد به رئیس جمهور به منظور ارائه دستور رسیدگی به مصوبات دولت و وضعیت زیست محیطی استان خراسان شمالی، تذکر سید جلال یحیی زاده نماینده تفت و میبد به رئیس جمهور دباره ضرورت توجه به نظر مراجع تقلید به منظور عدم حضور زنان در ورزشگاه ها حتی به صورت ناظر و ... بود .,سیاسی,100123
قهرماني تكواندو ايران در آسيا,در ادامه اين رقابت ها و در وزن هشتم حسين تاجيك پس از استراحت در دور نخست، نمايندگان ازبكستان و قطر را از پيش رو برداشت و در فينال موفق شد تكواندوكار قزاقستاني را با نتيجه قاطع 19 بر5 شكست دهد و چهارمين مدال طلا را براي تيم ايران به ارمغان آورد.,ورزشی,100125
حذف پرايد از چرخه تاكسيراني,به جز بخش معدودي از مسافربرهاي شخصي كه امسال نوسازي مي شوند، تاكسي هاي زرد و سبز نو شده اندو اين اولين بخشي بود كه بايد لحاظ مي شد.,اجتماعی,100127
«هفت» بزرگتر از «نود» می‏شود؟,مقايسه هفت و 90 نکته تأمل برانگيز ديگري را هم در دل خود دارد. شکل برخورد آدمها، ادبيات آدمها، شيوه طرح انتقاد و پاسخگويي به آن و در مجموع آنچه معرف سواد و جايگاه اجتماعي افراد است ظاهراً همچنان در سينما رتبه والاتري از فوتبال دارد. در معدود برنامه هاي روي آنتن رفته « هفت»، بعضاً چالشها و اختلاف نظرهاي ريشه داري بين افراد درگرفت، اما کسي از چارچوب منطق و ادب بيرون نرفت و شخصيت کسي زخمي نشد.,ورزشی,100130
12ميليون يورو هرفصل در انتظار آقای خاص,مورينيو نيز در اظهارنظري مشكوك و موذيانه گفته است: صددرصد به رئال مادريد مي روم اما نمي دانم چه وقت.,ورزشی,100131
رولان گاروس در هياهوی فوتبال آغاز شد,به زعم پرافتخارترين تنيسور تاريخ، رالي رافا- راجر تحت هر شرايطي يک رقابت خاص محسوب مي شود: «اين يکي از بزرگ ترين دشمني هاي ورزش تلقي مي شود.» 3 پيروزي از مجموع 14 برتري نادال در بيست و يک بازي با فدرر، منجر به 3 قهرماني جوان اسپانيايي در رولان گاروس شده اما پيروزي بعدي فدرر حساب افتخارات طرفين در اين رقابت ها را هم تراز مي کند.,ورزشی,100134
