,title_lead,category
66,5 تذکر نمایندگ احمد نژاد مه تذکر نمایندگ مسئول اجرا تذکر پولاد نماینده ایلا رئیس جمهور تشکیل کارگروه ایجاد گرد غبار ایلا تذکر ثروت نماینده بجنورد رئیس جمهور منظور ارائه دستور رسیدگ مصوب دول وضع زیس محیط اس خراس شمال تذکر سید جلال یح زاده نماینده تف میبد رئیس جمهور دباره ضرور توجه نظر مراجع تقلید منظور حضور زن ورزشگاه ناظر ...,سیاسی
67,قهرماني تكواندو اير آسيا ادامه رقاب وزن ه حسين تاجيك استراح دور نمايندگ ازبكس قطر بردا فينال موفق تكواندوكار قزاقستاني نتيجه قاطع 19 5 شكس چهارمين مدال طلا تي اير ارمغ,ورزشی
68,حذف پرايد چرخه تاكسيراني معدودي مسافربرهاي شخصي نوسازي تاكسي زرد سبز نو اندو اولين بخشي لحاظ,اجتماعی
69,بزرگ نود می‏شود مقايسه 90 نکته تأمل برانگيز دل شکل برخورد آدم ادبي آدم شيوه طرح انتقاد پاسخگويي مجموع معرف سواد جايگاه اجتماعي افراد سينما رتبه والاتري فوتبال برنامه آنتن بعضاً چالش اختلاف نظرهاي ريشه داري افراد درگرف کسي چارچوب منطق ادب بيرون نرف شخصي کسي زخمي نشد,ورزشی
70,12 يورو هرفصل انتظار خاص مورينيو اظهارنظري مشكوك موذيانه گفته_اس رئال مادريد دان وق,ورزشی
71,رول گاروس هياهو فوتبال آغاز زع پرافتخارترين تنيسور تاريخ رالي رافا- راجر شرايطي يک رقاب خاص محسوب يکي دشمني ورز تلقي 3 پيروزي مجموع 14 برتري نادال يک بازي فدرر منجر 3 قهرماني جو اسپانيايي رول گاروس پيروزي بعدي فدرر حساب افتخار طرفين رقاب تراز,ورزشی
72,روابط عمومي ساز ورز حک لاز تعامل ارتباط صحيح اصحاب رسانه بستري اطلاع رساني شفاف ارتباط مستمر مخاطب ساز تربي بدني فراه نماييد,ورزشی
73,مبعلي جواب مدير تي امار دهي آقاي قطبي گفته_باشد درصد قهر شوي قهرماني روي چيز طبيعي قول قهرماني حرف موافق قهرماني روي قطبي بازيكن حرف بزند شرايط كلي تي داند,ورزشی
74,ماندن استقلال مشكلي آقاي مرفاوي استعفا اطلاع جايگاه نيس صحب بگوي صمد تلا توجه مشكلاتي داشتي انرژي تي تمرين استقلال دوس بازي پيك رختكن نبود ماشين مداواي كمر تهر آمد اميدوار آقاي مرفاوي موفق سال خوبي كنار سپري,ورزشی
75,روند ساز مل جوان تعطیل نظر ساز مکان جوان تبدیل شده_اس ساز سیاس نظر رسد نق نهاد سیاس حما دول باز مسائل مشکل جوان ... اقدا هزینه کل ساز فعال راستا حل مشکل جوان مشکلات آلا افزوده_اس,اجتماعی
76,فوتبال جنگ جهان صلح علاوه فوتبال سخنران طولان مصوب الملل درگیر نظام روند مشتنج حل صلح آمیز هدا ت مل ساحل عاج شامل بازیکنان شمال جنوب متخاص کشور صعود جا جهان 1 شهروندان خطاب قرار متخاص سلاح زمین بگذارند جنگ داخل کشور تباه کشید خاتمه سال رئیس جمهور هائیت ژ برتراند آریستید سرنگون ت فوتبال برزیل نق سفیر صلح نیرو برزیل ساز ملل باز,ورزشی
77,رقاب نفره لاريجاني رياس مجلس گزار تابناک فضا انتخاب هیئ رییسه,سیاسی
78,مورينيو لوئيس فيگو مادريد رود تلا مربي اين همكاري احتمالي فيگو حالي گزار يكشنبه مطبوع ايتاليايي ارائه پيشنهاد نجومي 12 يورو نزاتزوري لقب اين مربي قهر چ پوشي حضور مادريد خبر ه_اند,ورزشی
79,انتقاد هاشم ن نرخ روزخور فردا آزاد خرمشهر خارج تلخ شیرین پیروز کا نغمه ناهنجار ادامه جنگ فتح خرمشهر جنگ طلب ایر طرح موضوع همنوا آگاه ناخودآگاه داخل متأسفانه اغراض سیاس جناح اصطلاح ن نرخ خور,سیاسی
80,قرارداد سفید صفر نامر مي مجيد جلالي تن بستن قرارداد سفيد اقدامي راضي نظر رسد بستن قرارداد سفيد واقع رفتار اعتمادساز وسيله دوطرف حسن ني نسب ثاب شرايط باشگاه فولاد موضوع تعيين كننده آقاي دهكردي برگه قرارداد زير امضا گذا توجه اعتمادي زير امضا موضوع شكي مبلغ درج قرارداد رضاي طرفين نباشد عملكرد طول فصل تاثيرگذار خواهد_بود,ورزشی
81,شیث رضايي آسيا چشمك زند مدافع پرسپوليس پاسخ سوال آيا حضور تي ملي خير تصريح تلا رسيدن تي ملي ابتدا پرسپوليس تي ملي دعو خوشحال اينصور موفقي دعا خواهم_كرد,ورزشی
82,تبيين روابط دخ پسر نشست رادیو,اجتماعی
83,فريدون زند قرارداد تمديد شرايط حرفه باشگاه استيل آذين حاک واستيل آذين باشگاه ايراني معناي واقعي يک باشگاه حرفه مديري سيستماتيکي باشگاه وجوددارد,ورزشی
84,جنگ روان سرخ‏ برنامه جشن قهرماني پرسپوليس مدير روابط عمومي باشگاه پرسپوليس ليس مازاد بازيكن تي فهرستي كادرفني باشگاه بازيكن مازاد بازيكناني قرار فصل آينده جذب ارائه نشده_اس ديدار جا حذفي هماهنگي كاشاني فهرس پيگيري لاز,ورزشی
85,ات سرق ادب طهر تهر مهرجو مهناز انصاري داريو مهرجويي فيل ليلا اساس ر مدعي فيل ساز فيل طهر تهر ر پانسيون محله ي مونمار كتاب نويسنده ي نامي مي موضوع اشاره,فرهنگی
86,زب واحد فوتبال پیر بازیکن جا جهان دینوزوف ایتالیا جا 82 ایتالیا 40 سالگ قهر بازیکن کاپیتان مربیگر تیم قهر جا قیصر فرانتس باوئر جا جا جهان فرانسو ساخ مجسمه البل لافلور جا جا ژول ریمه مشهور سال رئیس فیفا شخص اصل بنیانگذار جا جهان محسوب دلیل جا رقاب برگزیده,ورزشی
87,شهر مردمان آسمان غلامعل رجا,فرهنگی
88,كسر ماهه خدم سربازي گذراندن درس آمادگي دفاعي موافق نهادهاي مربوطه دان آموزاني درس آمادگي دفاعي خوبي بگذرانند مشمول ماه كسر خدم نظا وظيفه مسئول بسيج علماي حوزه علميه تدوين كتب درسي همراهي,اجتماعی
89,مزاح وزیر ایران وزیر ارمن حاج بابا واکن ارائه آمار تعداد دان آموز کشور ارمنس 450 نفر بخش برنامه شوخ وزیر علو آموز ارمنس لاز ایده کشور افزا تعداد دان آموز پیاده,اجتماعی
90,پيشکسو استقلال تي ملي درگذ پس جمالي هافبک لحاظ بدني يکي هافبک قدرتي شمار جمالي همراه تي ملي فوتبال اير رقاب مقدماتي المپيک توکيو 1964 مقا قهرماني رسيد المپيک صعود اير رقاب 2 تي عراق پاکس هندوس شکس المپيک توکيو صعود,ورزشی
91,صدور کار بیمه طلا فرهنگ اسکندر اشاره تعداد زیاد کار خا بیمه طلا چاپ شده_اس 200 برگه کار طلا فرهنگ تکمیل شده_اس,اجتماعی
92,پیشنهاد تغییر هفته دفاع مقدس 31 شهريور صدامي كشور تعرض حمله ايا توهين كشور اير محسوب شادي سرور هفته دفاع مقدس جشن ايا خرداد آزاد خرمشهر,فرهنگی
93,وحید شمسا خیال شده_ا شمس ول ببینید درحال نوشتن ورز خبرید وحید شمسا 10 سال پوشیدن لباس  رفتار آرا مو ... ب رسیدن ت مل کار کرده_با خنده سیس خدا شکر دوس مه,ورزشی
94,پسر 2 ساله روزي بسته سيگار كشد نسب سلام پسر نگر نيس كاملا سال سلام نظر رسد هنگامي كشيدن سيگار منع پاهاي زمين كوبد گريه معتاد,سیاسی
95,حاضر میلیاردر ایر جمع سرمایه 50 نفر ثروتمند کشور 200 دلار برآورد قدر سیاس اقتصاد کشور جمع سرمایه 50 نفر 5 دلار نباشد وق برداشت ؟!,اقتصادی
96,رئيس مجلس غفور فرد اصولگرا مجلس ه مثب ارزیاب عملکرد لاریجان گزینه مطلوب ابقا هیأ رییسه كاظ جلال مخبر کمیسیون امن مل تجر عضو هیأ رییسه کمیسیون قضا مجلس حما عملکرد رییس قوه مقننه حضور مؤثر گروه همفکر مسایل الملل نقاط قو مجلس ه نسب مجالس پیشین برم شمارند,سیاسی
97,زائري موادمخدر ديگربه سفر خارجي برود اتفاق اظهارنظر علما شیعه اهل تسنن مواد مخدر حرا جنبه قانون تصم گرفته_شد مسامحه جایگاه تمتع عمره برخورد,اجتماعی
98,نيمك نشيني باعث اختلاف قلعه نويي سامره بي مطلب فوتبال اير فقر ستاره روبرو خاطر يک فوتباليس ستاره علاوه برتمرين منظ برنامه تغذيه برنامه تفريحي خوبي زندگي بازيکن اهداف بلندي متصور دليل ستاره پايدار تي ملي جا جهاني نرف,ورزشی
99,حداد جایگاه پنج برل لیگ قرار حداد پرتاب خطا ترتیب پرتاب پنج 62  73 سانت  64  8 سانت  66  50 سانت  67  8 سانت  ثب رساند قهر پرتاب دیسک ایر آسیا آخرین پرتاب ه شرک مسابقه پنج کسب نتوانس امتیاز ثب,ورزشی
100,بازگ هفده ورزشكار برنز ایر آخرين رقاب حسن تفتي دور مقدماتي ركورد 10 ثانيه 71 صد ثانيه شانس كسب مدال محسوب فينال ركورد 10 ثانيه 86 صد ثانيه مك چهار قرار كسب مدال كسب سهميه حضور بازي المپيك ماند,ورزشی
101,رد خبر ت باشگاه فولاد خاطر برادر مدیرعامل حميد ساك رئيس هي تيروك اس اصفه,ورزشی
102,پيروزي ت فوتسال اير دیدار اصغر حسن زاده 3 گل محمد طاهري 5 گل احس زحم ک 4 گل مسعود دانشور 3 گل طيبي 2 گل مجيد رييسي محمد کشاورز گل اير ثمر رساندند,ورزشی
103,قنبرزاده باشگاه نساجي فرار مالي قرارداد صوري منعقد مديرعامل باشگاه نف قرارداد باشگاه دس يادآور 18 ارديبه ثب قرارداد دف هيأ فوتبال اس تهر آمدي شيرازي رئيس هيأ اس تهر بهرو تلفني گفته_اس قرارداد دس عل شكاي باشگاه نساجي ثب نشود صورتي نامه باشگاه نساجي تاريخ 21 ارديبه ماه ارسال شده_اس بهرو خبر داشته_اس,ورزشی
104,دل ذوب آهن ابراهي زاده رفتار ارزشمند مجموعه پيك سايه جشن قهرماني سپاه نايب قهرماني ذوب آهن قرار وظيفه دان جوانمردي مديرعامل پيك قدرداني مديري صاحب پناه آستانه بازي استقلال بخش جراي نقدي بازيكن تيم منوط ارايه بازي ديدار تشريفاتي رفتار پايبندي مجموعه پيك سلام فوتبال خوشحال فوتبال نگرشي آد تقدير فرهنگ جوانمردي ج بگيرد,ورزشی
105,فراخو استيل آذين طراحي لوگو طراح سه لوگوي بر برندگ مسابقه جوايز ارزنده درياف لوگو موافق اعضاي هي مديره تاييد نهايي لوگوي باشگاه استيل آذين انتخاب,ورزشی
106,تبريک ناطق نوري خاتمي ستودني رئيس فراکسيون روحانيون مجلس انتخاب اخلاقي اخلاقي فطر اشخاص داند آثار تبعات يکديگر متفاو نماينده اصفه مجلس شوراي اسلامي يادداشتي لزو پايبندي کانديدا اخلاق اسلامي انتخاب تشريح,سیاسی
107,اتاق بازرگان تهر عضو اتاق معن میلیاردر افراد هیئ نمایندگ اتاق بازرگان وصنایع ومعادن تهر عضو سال 1385 برگزار انتخابات پرشور رأ فعال خصوص عضو هیئ نمایندگ انتخاب شده_اند,اقتصادی
